year,quarter_label,state,average_price_rm,property_type,source_file,quarter
2010,Q2,Perak,103155.82,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Perlis,110588.65,All houses,all_houses_by_state.xlsx,2
2010,Q2,Perlis,204750.86,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Perlis,87425.27,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Sabah,249796.39,All houses,all_houses_by_state.xlsx,2
2010,Q2,Sabah,341007.65,Detached house,detached_by_state.xlsx,2
2010,Q2,Sabah,408095.09,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Sabah,252735.28,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Sarawak,254865.03,All houses,all_houses_by_state.xlsx,2
2010,Q2,Sarawak,310487.45,Detached house,detached_by_state.xlsx,2
2010,Q2,Sarawak,324744.28,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Sarawak,193343.8,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Selangor,241504.68,All houses,all_houses_by_state.xlsx,2
2010,Q2,Selangor,475691.93,Detached house,detached_by_state.xlsx,2
2010,Q2,Selangor,608752.0,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Selangor,245457.37,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Terengganu,160846.84128440366,All houses,all_houses_by_state.xlsx,2
2010,Q2,Terengganu,182179.63,Detached house,detached_by_state.xlsx,2
2010,Q2,Terengganu,190811.96,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Terengganu,113864.77,Terraced house,terraced_by_state.xlsx,2
2010,Q3,Johor,164367.74,All houses,all_houses_by_state.xlsx,3
2010,Q3,Johor,216252.8886349206,Detached house,detached_by_state.xlsx,3
2010,Q3,Johor,416270.25312825857,Semi-detached house,semi_detached_by_state.xlsx,3
2010,Q3,Johor,138310.51,Terraced house,terraced_by_state.xlsx,3
2010,Q3,Kedah,132173.74,All houses,all_houses_by_state.xlsx,3
2010,Q3,Kedah,269373.11,Detached house,detached_by_state.xlsx,3
2010,Q3,Kedah,183831.0230926517,Semi-detached house,semi_detached_by_state.xlsx,3
2010,Q3,Kedah,103543.3,Terraced house,terraced_by_state.xlsx,3
2010,Q3,Kelantan,112320.44,All houses,all_houses_by_state.xlsx,3
2010,Q3,Kelantan,96717.84,Detached house,detached_by_state.xlsx,3
2010,Q3,Kelantan,195303.1046436972,Semi-detached house,semi_detached_by_state.xlsx,3
2010,Q3,Kelantan,126503.942062635,Terraced house,terraced_by_state.xlsx,3
2010,Q3,Kuala Lumpur,400492.66,All houses,all_houses_by_state.xlsx,3
2010,Q3,Kuala Lumpur,2496990.26432333,Detached house,detached_by_state.xlsx,3
2010,Q3,Kuala Lumpur,1433548.46,Semi-detached house,semi_detached_by_state.xlsx,3
2010,Q3,Kuala Lumpur,385975.71148648654,Terraced house,terraced_by_state.xlsx,3
2010,Q3,Melaka,111934.28,All houses,all_houses_by_state.xlsx,3
2010,Q3,Melaka,193704.5903056844,Detached house,detached_by_state.xlsx,3
2010,Q3,Melaka,257993.43,Semi-detached house,semi_detached_by_state.xlsx,3
2010,Q3,Melaka,94905.51,Terraced house,terraced_by_state.xlsx,3
2010,Q3,Negeri Sembilan,136186.9,All houses,all_houses_by_state.xlsx,3
